Comment,Designator,Footprint,LCSC,Quantity
LED,"D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D24,D3,D4,D5,D6,D7,D8,D9",LED_Everlight-SMD3528_3.5x2.8mm_67-21ST,C2843803,24
Conn_02x01,J2,PinHeader_1x02_P2.54mm_Vertical,C2915055,1
220R,"R1,R2,R3,R4,R5,R6,R7,R8",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C2933785,8
Conn_01x03,J4,PinHeader_1x03_P2.54mm_Vertical,C2937625,1
Conn_02x01,"J1,J7",TerminalBlock_bornier-2_P5.08mm,C592976,2
Conn_02x20_Counter_Clockwise,J3,PinHeader_2x20_P2.54mm_Vertical,C725892,1
~,KR1,Korry Switch,,1
